unit,sex,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
NR,F,TOTAL,LU	294026 b	287056 	280986 	274563 	268627 	263033 b	257221 	252660 	248665 	244192 	240395 	236986 	233074 	230252 	227291 	225226 	222700 	219985 	217009 	214687 	212161 	209588 	206487 	203640 	200884 	198398 	196056 	193948 	192270 	190888 	189800 	188700 	188100 	187877 	187675 	187550 	186600 	185475 	183925 	183289 	182372 	181557 	180167 	178490 	176670 	175227 	173291 	172307 	171500 	171000 	170215 	169100 	167500 	165100 	163600 	161500 	159408 	158478 
NR,F,TOTAL,LV	1054433 	1064658 	1074889 	1084423 	1097245 	1110001 	1126666 	1149573 	1170186 	1184769 	1195049 	1205816 	1217615 	1232055 	1244563 	1254708 	1270420 	1284827 	1293810 	1305306 	1318111 	1330734 	1346259 	1365402 	1386941 	1414390 	1421705 	1427609 	1427415 	1416322 	1402581 	1391416 	1382940 	1375340 	1367779 	1361170 	1356752 	1354307 	1351568 	1345557 	1338420 	1331443 	1322646 	1312548 	1301605 	1293006 	1285366 	1278843 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,MC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17045 	16930 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,MD	1843489 	: 	1844915 	1846128 	1847151 	1847816 	1848324 	1850208 	1852581 	1855244 	1860080 	1870568 	1875595 	1879021 	1885004 	1890261 	1894500 	1899612 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,ME	314635 	314484 	314577 	314366 	314092 	313949 	313725 	313778 	313075 	312344 	312066 	310980 	311644 	311009 	309831 	308794 	307540 	306100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,MK	1035089 	1033677 	1032654 	1030928 	1029156 	1027868 	1026404 	1023907 	1021815 	1019938 	1018202 	1016116 	1014051 	1011232 	1007766 	1019035 	1014875 	1010106 	1005439 	1000065 	994484 	984009 	977388 	966976 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,MT	228634 	224019 	219203 	214891 	212126 	209851 	208584 	207824 	206319 	205098 	204097 	204161 	203088 	201768 	200460 	199278 	197726 	196331 	195277 	194208 	192953 	191434 	191354 	189690 	187806 	185938 	183969 b	178535 	176872 	175267 	174138 	173032 	170529 	169276 	: 	164086 	163269 	162210 	160549 	159543 	157975 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,NL	8606405 	8561985 	8527868 	8494904 	8472236 	8447477 	8412317 	8371513 	8329391 	8293326 	8269478 	8256803 	8239547 	8212118 	8177101 	8133318 	8077220 	8017633 	7966954 	7914118 	7870304 	7831600 	7796640 	7755666 	7703914 	7648728 	7590944 	7534092 	7488650 	7441337 	7390802 	7344892 	7304213 	7270437 	7236953 	7204263 	7160112 	7096734 	7040084 	6990658 	6942948 	6896703 	6827479 	6768924 	6712092 	6645353 	6569734 	6492540 	6415386 	6344070 	6273255 	6198911 	6121740 	6040594 	5966151 	5883048 	5801779 	5731102 
NR,F,TOTAL,NO	2609187 	2587096 	2567291 	2540963 	2515367 	2486999 	2459456 	2431447 	2404199 	2377481 	2355346 	2338238 	2322293 	2308408 	2296145 	2282132 	2272135 	2261357 	2245770 	2232493 	2220570 	2209212 	2198153 	2186187 	2172747 	2160275 	2148836 	2139836 	2132604 	2122134 	2111585 	2102788 	2095753 	2088834 	2082035 	2073540 	2064760 	2057040 	2049772 	2041301 	2032090 	2022234 	2011310 	1998478 	1985270 	1969394 	1954605 	1941184 	1925056 	1908839 	1892519 	1875388 	1860591 	1846436 	1832860 	1818629 	1803627 	1789949 
NR,F,TOTAL,PL	19595127 	19590169 	19608451 	19613892 	19636442 	19636496 	19633018 	19610632 b	19720950 	19704140 	19698704 	19703200 	19703582 	19704178 	19711782 	19717034 	19716616 	19715504 b	19868726 	19858815 	19842642 	19823369 	19802557 	19758399 	19710130 	19647898 	19577208 	19497908 	: 	: 	: 	: 	18989503 	: 	: 	: 	: 	18159646 	: 	: 	: 	: 	17384456 	: 	: 	: 	: 	16793500 	: 	: 	: 	: 	16132500 	: 	: 	: 	: 	15253800 
NR,F,TOTAL,PT	5427117 	5439821 	5451156 	5469281 	5491592 	5511961 	5519178 	5509734 	5496775 	5483592 	5468193 	5453175 	5440950 	5425721 	5407252 	5375295 	5344316 	5304872 	5274465 	5248376 	5223673 	5203747 	5186730 	5169497 	5158868 	5154852 	5163888 	5176677 	5185185 	5190484 	5195289 	5193233 	5186083 	5165938 	5148652 	5120752 	5088051 	5042890 	4999760 	4958610 	4915990 	4876530 	4680740 	4568680 	4556560 	4546370 	4553892 	4539570 	4593720 	4632820 	4667200 	4699810 	4721610 	4713080 	4703980 	4675540 	4634976 	4603250 
NR,F,TOTAL,RO	10041772 	10110503 	10163573 e	10201259 e	10258594 	10318889 	10366110 	10414274 	10488417 	10586266 	10840507 	10905183 	10965209 	11036295 	11088602 	11169297 	11467093 	11475444 	11487412 	11499014 	11518907 	11548426 	11568996 	11579217 	11587514 	11596272 	11752489 	11760564 	11709212 	11653750 	11599025 	11538970 	11492093 	11444508 	11411665 	11359888 	11288141 	11214574 	11173278 	11076768 	10979838 	10880755 	10735500 	10627776 	10550665 	10458265 	10360995 	10253668 	10127043 	10050227 	: 	: 	: 	: 	: 	: 	: 	: 
