unit,sex,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
NR,T,Y65-69,EL	610017 	610656 	608308 	597042 	577494 	553892 	532988 	521608 	525984 	542576 	564156 	582414 	593777 	598731 	599948 	598190 	627558 	622992 	616485 	620916 	610321 	609078 	597712 	573390 	527145 	503555 	460600 	443284 	423822 	409963 	400497 	395931 	392400 	399718 	414568 	428882 	437240 	439038 	435568 	427002 	415546 	407080 	396181 	391448 	380954 	377182 	366777 	387653 	273765 	362789 	255749 	342069 	240376 	324578 	211099 	294976 	189813 	304043 
NR,T,Y65-69,ES	2370618 	2348134 	2357514 	2327434 	2268893 	2192459 	2103623 	2074945 	1925904 	1820847 	1814781 	1877274 	1845267 	1960789 	2050581 	2094704 	2081613 	2090117 	2079982 	2053243 	2006899 	1984649 	1940045 	1913565 	1879383 	1868107 	1828116 	1785002 	1702387 	1629756 	1542160 	1475461 	1428525 	1432259 	1428484 	1441450 	1445349 	1447693 	1431786 	1421803 	1399679 	1382258 	1357301 	1338217 	1318692 	1300393 	1268756 	1239987 	1207719 	1173501 	1137980 	1104376 	1074990 	1046708 	1020210 	995162 	: 	942285 
NR,T,Y65-69,EU27	28885844 bp	28603418 ep	27448775 be	26512706 e	25481791 	24378333 	23664456 b	24046718 	24048516 	24069104 	24221554 	24249426 	23994045 	23738891 	23401213 	23221363 	23086416 	23100626 	23016021 	23180014 	23047784 	23003338 	22779817 	22637681 	22437877 	22435746 	22365895 	22325575 	: 	: 	: 	: 	15586034 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,EU28	29137179 bp	28849180 ep	27676825 be	26726446 e	25688620 	24583176 	23868795 b	24264702 	24277120 	24304249 	24460241 	24494129 	24241772 	23989361 	23654765 	23476028 	23341221 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,FI	375219 	381263 	376614 	356236 	331528 	296656 	281997 	258319 	255273 	253225 	259097 	242434 	244189 	236582 	228179 	225223 	225524 	227163 	230291 	235617 	236340 	235870 	233739 	230284 	228027 	225198 	222601 	220838 	209574 	203126 	199157 	192869 	187069 	195262 	196742 	200716 	205910 	209455 	211140 	211576 	209487 	206729 	201301 	195521 	189244 	182572 	177463 	173398 	168317 	165781 	160366 	154593 	150676 	144896 	137621 	133975 	131423 	126508 
NR,T,Y65-69,FR	3957394 p	3939159 p	3710966 b	3481221 	3234527 	2968321 	2684105 	2611118 	2577791 	2548474 	2548429 	2619485 	2654201 	2671947 	2686992 	2722995 	2745612 	2780519 	2772162 	2788405 	2772553 	2761996 	2739415 	2729115 	2717185 	2716005 	2726384 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,FX	: 	: 	: 	: 	3164486 	2900797 	2619791 	2549392 	2518252 	2490964 	2492628 	2562575 	2598411 	2617742 	2634204 	2672592 	2697975 	2734538 	2728730 	2745720 	2730437 	2720467 	2698938 	2689271 	2678004 	2677699 	2688941 	2709363 	2530856 	2306635 	2044363 	1743511 	1488584 	1611992 	1787155 	2004999 	2219548 	2389025 	2396294 	2398593 	2381956 	2398515 	2387712 	2379233 	2363744 	2372188 	2367464 	2343846 	2321494 	2282895 	2231428 	2178836 	2106679 	2040079 	1992235 	1907316 	1850606 	1828396 
NR,T,Y65-69,GE	180800 	172700 	129900 	156927 	: 	124710 	132023 	153765 	179832 	211733 	233315 	236982 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,HR	251335 	245762 	228050 	213740 	206829 	204843 	204339 	217984 	228604 	235145 	238687 	244703 	247727 	250470 	253552 	254665 	254805 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,HU	597868 	577644 	551918 	543890 	529653 	522346 	513370 	520321 	506125 	499489 	487208 	481023 	473689 	474228 	477259 	484613 	491745 	501771 	506726 	511008 	510412 	515244 	516364 	514605 	518513 	528414 	532270 	529668 	532289 	479955 	423996 	368875 	332239 	339332 	394355 	454473 	509443 	547372 	544031 	542282 	531810 	524235 	508081 	493320 	482905 	477339 	471788 	475455 	471868 	465372 	454048 	443448 	426839 	412689 	398823 	383474 	366713 	348926 
NR,T,Y65-69,IE	210434 	206603 	201997 	195535 	187723 	179256 	169883 	161661 	154866 	148339 	143382 	141469 	139993 	136829 	134590 	132794 	130411 	129168 	128653 	127789 	126757 	126780 	126718 	127211 	128688 	130354 	131151 	132582 	133238 	131952 	129241 	129550 	131509 	130300 	131600 	132100 	133900 	133712 	133000 	130000 	127400 	124700 	121800 	119000 	116300 	113700 	111900 	112200 	112400 	113100 	113800 	113700 	111700 	109500 	107300 	105000 	103600 	104700 
NR,T,Y65-69,IS	15567 	15045 	14487 	13870 	13200 	12620 	11912 	11075 	10458 	9882 	9434 	9304 	9282 	9297 	9324 	9392 	9523 	9782 	9838 	9880 	9817 	9693 	9329 	9094 	8978 	8812 	8769 	8717 	8502 	8285 	8094 	7758 	7513 	7475 	7371 	7269 	7233 	7082 	7001 	6883 	6660 	6558 	6506 	6470 	6421 	6320 	6116 	6050 	5877 	5725 	5713 	5803 	5807 	5746 	5719 	5687 	5629 	5342 
NR,T,Y65-69,IT	3618837 	3684918 	3561371 	3447791 	3266751 	3132885 	3028951 	3142142 	3231431 	3294624 	3315246 	3299699 	3234818 	3162726 	3101423 	3077068 	3092407 	3113709 	3100773 	3093844 	3096603 	3081515 	3031550 	3026320 	3021470 	3007050 	2978267 	2968076 	2765278 	2476077 	2207407 	2021785 	1933734 	2080366 	2334161 	2576961 	2696709 	2720051 	2697852 	2669628 	2603644 	2562046 	2492841 	2438453 	2351564 	2317248 	2251000 	2206400 	2133200 	2080400 	2013600 	1962700 	1886900 	1838200 	1811700 	1775500 	1741400 	1712800 
NR,T,Y65-69,LI	2134 	2115 	2036 	2021 	1926 	1869 	1788 	1793 	1663 	1525 	1425 	1321 	1208 	1150 	1145 	1058 	1011 	992 	965 	920 	945 	968 	993 	981 	981 	1009 	1039 	1049 	1006 	981 	892 	791 	737 	750 	747 	790 	798 	852 	842 	835 	798 	788 	748 	730 	712 	: 	680 	: 	654 	610 	587 	557 	549 	530 	525 	506 	488 	467 
NR,T,Y65-69,LT	151223 	146482 	144036 	136848 	136982 	142681 	149499 	152885 	160560 	165037 	166097 	168363 	170299 	169892 	168924 	168828 	166532 	167253 	169128 	171839 	170830 	169952 	167495 	165816 	160425 	155410 	149601 	142287 	132645 	118400 	105279 	97168 	90775 	92270 	97276 	106644 	113278 	119569 	121607 	128481 	132661 	136646 	138764 	139661 	134062 	128875 	123964 	123257 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,LU	25572 b	24760 	23612 	22449 	21450 	20633 	19726 	19528 	19504 	19294 	19077 	19154 	18949 	18537 	18345 	18349 	18634 	19419 	19851 	20129 	20273 	19942 	19289 	18433 	17855 	17061 	16569 	16437 	15940 	14938 	14302 	13625 	13248 	13792 	14842 	15970 	16747 	17133 	17222 	17400 	17370 	17508 	17505 	17413 	17198 	17095 	17055 	16888 	: 	: 	15859 	: 	15630 	: 	: 	: 	13227 	13150 
NR,T,Y65-69,LV	110632 	107417 	103499 	99251 	97812 	99849 	106522 	113849 	120741 	126355 	129701 	128614 	126908 	123013 	119421 	117728 	118092 	120918 	124779 	128229 	129580 	129586 	129160 	128006 	125485 	120866 	102890 	103071 	102792 	94814 	85581 	79439 	77829 	82245 	85698 	95362 	103472 	109903 	110915 	112311 	111990 	112727 	112721 	113120 	112701 	111691 	108943 	107135 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,MD	151110 	: 	121535 	108518 	104565 	107052 	110158 	114976 	120120 	125242 	126378 	127296 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,ME	32351 	31122 	27444 	24957 	23417 	22628 	22534 	24915 	26632 	28305 	29068 	29679 	29293 	28945 	28826 	28730 	28651 	28479 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,MK	102419 	97996 	92561 	87896 	82540 	80822 	80437 	81462 	81573 	80871 	79584 	81579 	81509 	82550 	84280 	84647 	82391 	81550 	77982 	74832 	72641 	71836 	68263 	67621 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,MT	29921 	30170 	29812 	29550 	27516 	24180 	21287 	19026 	16878 	16411 	17197 	17895 	17617 	17070 	16766 	16456 	15921 	15287 	15036 	14609 	14318 	14086 	13850 	14054 	14122 	13966 	13867 b	13979 	13354 	12791 	12014 	11047 	10017 	9689 	: 	9104 	9615 	9318 	9435 	9195 	10256 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,NL	1015641 	1046703 	1014432 	985760 	941814 	874056 	790560 	775949 	747759 	725459 	707492 	695946 	677506 	663208 	649864 	647841 	643835 	644480 	641148 	640578 	632415 	627916 	620527 	619422 	620993 	622966 	624792 	629059 	612391 	589454 	572746 	555311 	533869 	538493 	544355 	546643 	542105 	540279 	534056 	527913 	521015 	519356 	514452 	507469 	499310 	492648 	484945 	474458 	462962 	453112 	442342 	434452 	427719 	420282 	414447 	403191 	392641 	381213 
NR,T,Y65-69,NO	273454 	279167 	277709 	273981 	263972 	249106 	226767 	212061 	197969 	188500 	180833 	177301 	171000 	166011 	162710 	163143 	164834 	168828 	172387 	176369 	178118 	181868 	184647 	189845 	196022 	202189 	207087 	215527 	214694 	214112 	213729 	210603 	203389 	204342 	202789 	201156 	200589 	199695 	198479 	195832 	192237 	188960 	185658 	181802 	179586 	178192 	176613 	175564 	173739 	171741 	169045 	165996 	162934 	159658 	155399 	151134 	146380 	141558 
NR,T,Y65-69,PL	2263567 	2154130 	1963067 	1784722 	1609702 	1456489 	1356932 	1381199 	1412937 	1453753 	1503698 	1541930 	1561704 	1571319 	1578248 	1594237 	1608166 	1636276 	1653301 	1674996 	1653943 	1633014 	1607426 	1581082 	1554435 	1544042 	1494292 	1429354 	: 	: 	: 	: 	942776 	: 	: 	: 	: 	1332607 	: 	: 	: 	: 	1297136 	: 	: 	: 	: 	1149400 	: 	: 	: 	: 	910300 	: 	: 	: 	: 	703000 
NR,T,Y65-69,PT	606795 	593746 	586336 	575925 	559012 	548752 	536679 	521732 	515960 	514808 	518367 	528847 	536088 	535718 	536446 	539287 	534659 	525838 	519817 	514814 	504330 	500469 	495497 	494188 	489012 	484890 	474974 	465598 	445626 	422571 	406779 	394691 	381992 	386899 	398040 	404391 	407793 	409420 	401950 	395310 	388260 	382570 	339040 	340140 	335250 	334650 	328257 	330470 	311920 	304490 	293540 	291060 	267750 	275190 	272130 	272850 	264150 	267820 
NR,T,Y65-69,RO	1143539 	1103942 	1021358 e	951131 e	907768 	889335 	892133 	898874 	908005 	959258 	1020567 	1032514 	1079987 	1086886 	1091678 	1093348 	1091736 	1099521 	1097390 	1106259 	1084878 	1083426 	1068763 	1065409 	1044753 	1029195 	1007334 	964830 	913481 	792418 	675326 	605105 	576035 	583680 	690819 	801760 	861338 	898949 	895032 	891870 	874607 	853357 	822227 	803057 	788188 	767787 	746231 	737533 	715623 	696274 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,RS	483260 	469065 	423893 	390484 	361008 	341763 	341011 	345125 	362273 	380406 	399013 	413645 	424393 	440246 	453413 	464506 	470805 	479039 	478786 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,RU	: 	: 	: 	5268775 	: 	: 	4001747 	4479576 	5481053 	6601783 	7458010 	7608870 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,SE	573266 	588931 	599138 	603356 	595931 	578463 	547685 	513757 	481821 	454486 	432554 	420261 	409248 	395677 	384492 	380279 	378259 	381212 	384467 	391885 	394774 	399191 	403962 	411627 	419045 	428953 	443218 	460067 	458609 	455700 	452800 	442692 	425705 	430130 	434907 	439128 	442786 	446622 	448168 	447342 	443234 	438972 	432175 	422416 	412822 	406104 	399375 	393060 	384668 	378713 	368833 	360368 	352622 	346373 	338804 	331071 	324456 	316920 
NR,T,Y65-69,SI	121360 	115919 	104637 	98733 	96235 	94670 	93991 	99032 	100336 	98597 	96660 	96351 	95415 	95024 	95299 	96022 	96038 	97405 	96883 	96577 	95173 	93667 	90189 	87908 	85919 	83620 	81469 	78335 	74331 	65924 	57381 	49343 	45826 	48327 	55936 	64866 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,SK	297613 	278833 	259958 	247763 	233677 	221774 	217573 	216423 	210790 	206619 	201804 	196632 	192798 	191086 	191622 	195771 	202711 	205296 	208390 	210824 	210018 	209918 	208798 	209253 	212453 	216069 	219774 	217313 	212753 	186189 	159982 	133699 	121331 	121226 	142113 	163730 	182422 	194425 	195227 	195448 	192921 	190625 	186978 	180814 	175486 	172695 	170830 	172663 	169067 	164600 	159064 	153814 	146412 	139893 	134128 	126250 	118718 	104034 
NR,T,Y65-69,SM	: 	: 	: 	: 	1727 	1644 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,TR	2412537 	2356385 	2215704 	2045398 	1928386 	1868175 	1807292 	1723714 	1701384 	1698583 	1576000 	1520000 	1478000 	1467000 	1470000 	1487000 	1496000 b	1488601 	1447625 	1400139 	1353122 	1309619 	1255677 	1202611 	1171059 	1154528 	1143529 	976641 	902923 	835475 	773720 	717130 	665231 	697395 	732050 	769408 	809697 	853166 	804917 	762769 	726096 	694341 	667012 	658374 	650153 	642346 	634947 	627951 	603101 	579934 	558315 	538126 	519251 	484940 	453226 	423890 	396741 	371594 
NR,T,Y65-69,UA	2269745 	2163552 	1938663 	1823742 	1656868 	1618170 	1709185 	1971086 	2241587 	2589892 	2885630 	2947617 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y65-69,UK	3553580 	3626692 e	3588735 e	3526806 	3418288 	3209249 	3008157 	2895747 	2803619 	2727528 	2691398 	2698242 	2700864 	2673068 	2637482 	2612159 	2602616 	2605310 	2618566 	2633673 	2644770 	2655316 	2665702 	2683066 	2713521 	2759725 	2823321 	2913166 	2919867 	2813824 	2701311 	2597605 	2497643 	2508931 	2642276 	2757546 	2823821 	2849364 	2852156 	2851919 	2851460 	2849175 	2839171 	2816415 	2785220 	2752313 	2716400 	2678000 	2626100 	2556900 	2487900 	2426000 	2400000 	2300000 	2300000 	2300000 	2200000 	2200000 
NR,T,Y65-69,XK	49329 	45581 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y70-74,AD	: 	: 	: 	: 	1987 	2030 	2030 	2216 	2236 	2243 	2227 	2171 	2248 	2262 	2262 	2213 	2157 	2078 	2029 	1956 	1924 	1872 	1816 	1737 	1603 	1424 	1313 	1183 	1163 	1115 	1086 	1055 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y70-74,AL	97129 	99294 	100149 	102405 	102003 	98779 	93799 	89953 	86824 	83724 	80414 	75427 	74420 	70671 	68475 	67124 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y70-74,AM	55882 	56685 	67387 	: 	: 	: 	: 	113222 	105256 	100608 	97975 	93841 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y70-74,AT	370922 	388551 	426876 	443425 	431900 	414709 	382379 	341276 	303259 	297298 	300226 	304267 	311961 	317983 	323305 	325955 	327615 	329268 	332169 	336139 	342246 	346274 	345292 	331639 	301085 	267047 	234798 	213837 	222055 	249600 	282249 	310987 	332138 	335908 	337880 	337338 	339417 	337406 	336075 	335062 	335071 	332932 	329934 	325203 	319507 	311174 	303053 	296509 	289912 	283714 	276479 	269896 	262295 	257419 	253490 	251654 	247576 	248202 
NR,T,Y70-74,AZ	106558 	104054 	118986 	137448 	163391 	181288 	194015 	195004 	210400 	192400 	188600 	168100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y70-74,BE	478946 	440336 	427869 	422207 	423593 	433413 	448375 	453287 	452608 	450437 	455134 	462644 	471751 	473162 	473652 	468108 	462437 	457815 	458225 	459347 	459768 	460395 	459282 	437696 	396636 	355482 	317834 	290694 	298889 	329182 	359476 	384320 	399016 	399636 	399669 	397935 	393943 	393834 	395764 	393242 	395637 	396815 	394794 	389735 	383706 	377900 	370224 	365159 	357446 	352001 	342730 	333440 	325911 	319957 	314080 	310713 	307863 	307410 
NR,T,Y70-74,BG	377433 	359892 	352291 	346837 	342073 	340532 	345485 	348412 	362484 	373987 	386188 	386956 	395717 	388391 	384434 	381146 	394614 	393703 	402648 	398915 	404428 	397238 	392133 	372236 	337736 	287412 	248709 	235374 	248617 	256788 	299529 	326328 	327843 	306499 	329089 	317454 	317685 	310541 	306766 	302670 	295452 	281428 	274609 	258706 	249461 	239978 	237406 	220105 	217149 	202604 	193149 	179776 	175500 	166972 	173540 	169829 	175363 	176383 
NR,T,Y70-74,BY	252237 	258781 	286712 	317522 	361506 	392498 	406953 	: 	399633 	382636 	380221 	368950 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y70-74,CH	384240 	371249 	356726 	341072 	326356 	312450 	303448 	300300 	296797 	292920 	291587 	288384 	285571 	282419 	279905 	276974 	273997 	270968 	268971 	267598 	266642 	267233 	266506 	258911 	250060 	241758 	231787 	223434 	227820 	233319 	240649 	246052 	251498 	251046 	251948 	249844 	248432 	245539 	242007 	236474 	233079 	229744 	224570 	219866 	214878 	208089 	201600 	195911 	190027 	185147 	179917 	174701 	169520 	165077 	161329 	157809 	154201 	152300 
NR,T,Y70-74,CY	32757 	31636 	30938 	30320 	29983 	29334 	28257 	26949 	25702 	24634 	23737 	23303 	22748 	22262 	21845 	21422 	20708 	20457 	20115 	19728 	19312 	18764 	18168 	17610 	17217 	16954 	16687 	16451 	16336 	16397 	16473 	16537 	16620 	16665 	16720 	16666 	: 	: 	: 	: 	: 	32461 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y70-74,CZ	532653 	495189 	482043 	452772 	423602 	402749 	384438 	368041 	363492 	363005 	370833 	380265 	391842 	398767 	404949 	405309 	405828 	405919 	409171 	413154 	419023 	421733 	417611 	398098 	351654 	303767 	259922 	236486 	250180 	296214 	343067 	387592 	417910 	423675 	425121 	423787 	422802 	417039 	408418 	401524 	397399 	388982 	389249 	382105 	373273 	360880 	350717 	340123 	330668 	320122 	307221 	297548 	284592 	275686 	268553 	264668 	257051 	260903 
NR,T,Y70-74,DE	3654937 	3969193 	4426214 	4664320 	4826272 	4952544 	4866691 b	4739924 	4522256 	4218662 	3971995 	3759730 	3611866 	3511483 	3580311 	3604682 	3603180 	3553035 	3475879 	3388747 	3380231 	3411554 	3436438 	3346660 	3082086 	2755651 	2415208 	1802729 	1882668 	2140445 	2421043 	2658824 	2801099 	2824596 	2831362 	2816794 	2822099 	2804833 	2773138 	2729589 	2693332 	2657681 	2612196 	2544323 	2487733 	2399726 	2318335 	2252837 	2185414 	2119367 	2057072 	1995005 	1941642 	1893886 	1846386 	1813984 	1762297 	1734856 
NR,T,Y70-74,DE_TOT	3654937 	3969193 	4426214 	4664320 	4826272 	4952544 	4866691 b	4739924 	4522256 	4218662 	3971995 	3759730 	3611866 	3511483 	3580311 	3604682 	3603180 	3553035 	3475879 	3388747 	3380231 	3411554 	3436438 	3346660 	3082086 	2755651 	2415208 	2190541 	2294429 	2630586 	2999999 	3316684 	3514925 	3565530 	3589621 	3588005 	3616538 	3611159 	3585002 	3541945 	3511026 	3475816 	3430479 	3352044 	3290535 	3183123 	3086499 	3008852 	2929413 	2850343 	2771748 	2699911 	2640169 	2600037 	2553318 	2525557 	2466529 	2434214 
NR,T,Y70-74,DK	312288 	292443 	273446 	255367 	241994 	230590 	223846 	216868 	211089 	204027 	198552 	194127 	191775 	189903 	191041 	191428 	193067 	194795 	198066 	200039 	202272 	205944 	210865 	209061 	208694 	208246 	204859 	199423 	202223 	203618 	206503 	208582 	211181 	211879 	211061 	208100 	205631 	202261 	197584 	193361 	190441 	187760 	184529 	180812 	178033 	174399 	171296 	168249 	165882 	161499 	157376 	153640 	149354 	145691 	142810 	140890 	138043 	136769 
NR,T,Y70-74,EA18	15104777 bp	14791833 p	15220350 b	15332924 	15370059 	15504573 	15511629 b	15271113 	15036010 	14716901 	14509184 	14301384 	14201502 	14041501 	14058910 	13953462 	13877147 	13651595 	13483429 	13291072 	13186061 	13118140 	13052425 	12429673 	11468610 	10403312 	9390179 	8676975 	9036906 	9836457 	10727468 	11433033 	11886514 	11882078 	: 	11681448 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y70-74,EA19	15228937 bp	14921839 p	15353406 b	15472438 	15513210 	15648110 	15656844 b	15417536 	15182053 	14862556 	14656001 	14447185 	14348414 	14189630 	14207196 	14099797 	14019513 	13792405 	13622302 	13424935 	13315661 	13243284 	13171898 	12541782 	11570045 	10494174 	9473746 	8755262 	9116284 	9920845 	10819437 	11529677 	11988267 	11984876 	: 	11792428 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y70-74,EE	52762 	54248 	57114 b	60720 	64688 	66860 	65420 	65020 	62650 	60590 	59330 	59260 	60000 	61650 	63380 	63360 	62790 	61340 	59051 	57502 	55283 	53360 	50539 	47519 	44986 	41333 	38397 	38851 	41155 	42662 	47264 	50977 	53316 	53638 	53700 	53059 	52758 	51888 	51549 	51459 	51324 	50459 	50586 	49341 	48271 	46299 	44939 	43440 	42151 	40863 	40377 	39756 	39201 	38875 	38794 	37763 	37411 	36681 
NR,T,Y70-74,EEA30	22742722 bp	22015109 ep	22306359 be	22266325 e	22213599 	22311219 	22312697 b	22042930 	21773323 	21384420 	21163220 	20961301 	20895300 	20763289 	20817407 	20682522 	20605820 	20335316 	20175322 	19963145 	19894346 	19826886 	19744469 	18963296 	17566053 	16035949 	14650753 	13648943 	: 	: 	: 	: 	18222978 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y70-74,EEA31	22924314 bp	22196166 ep	22499358 be	22468041 e	22420344 	22520367 	22526610 b	22258933 	21991424 	21604557 	21383860 	21181821 	21116878 	20982156 	21032382 	20890747 	20807762 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,T,Y70-74,EFTA	629816 	594941 	565635 	535914 	511428 	489675 	477073 	467734 	459047 	451568 	450131 	447908 	448399 	447993 	448873 	447198 	447092 	445732 	447854 	451312 	455476 	459897 	466159 	457119 	447294 	437970 	424451 	409347 	414126 	418023 	423650 	428363 	432859 	431298 	429710 	423938 	419592 	413378 	406386 	398685 	393546 	388305 	381674 	374714 	367755 	: 	349514 	: 	332763 	324674 	315512 	305562 	295990 	287446 	279946 	273887 	267026 	262181 
NR,T,Y70-74,EL	517499 	497146 	486907 	491849 	509343 	531717 	550008 	558427 	560160 	557983 	554288 	549587 	546021 	540997 	534574 	526699 	553628 	543768 	522166 	478900 	458274 	418167 	386340 	366984 	363482 	346813 	336710 	336473 	343465 	349914 	356626 	360907 	388300 	381324 	375184 	364970 	356814 	350050 	345760 	336544 	332430 	320541 	310570 	299715 	290863 	274184 	262142 	264187 	217895 	238796 	194121 	221505 	179571 	215679 	186426 	214696 	175846 	209678 
